Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output.BodyModel.SelectedOutput.Trunk.JointReactionForce.L5SacrumAnteroPosteriorForce
 5.000100000000000e-02, 2.638512031972795e+01
 6.666800000000001e-02, 2.844275101311059e+01
 8.333500000000001e-02, 2.736814616601234e+01
 1.000020000000000e-01, 2.825925485400625e+01
 1.166690000000000e-01, 2.989182559975942e+01
 1.333360000000000e-01, 3.183502296882660e+01
 1.500030000000000e-01, 3.343624664567669e+01
 1.666700000000000e-01, 3.470859920601857e+01
 1.833370000000000e-01, 3.663307230574264e+01
 2.000040000000000e-01, 4.005881010866283e+01
 2.166710000000000e-01, 4.516835223668187e+01
 2.333380000000000e-01, 5.152514784788149e+01
 2.500050000000000e-01, 5.875974445465934e+01
 2.666720000000000e-01, 6.457470567693005e+01
 2.833390000000000e-01, 6.621328409309379e+01
 3.000060000000001e-01, 5.501818639822408e+01
 3.166730000000000e-01, 3.274948303949313e+01
 3.333400000000000e-01, 1.204359881218590e+01
 3.500070000000000e-01, 1.727280032469475e+01
 3.666740000000000e-01, 3.439981940063450e+01
 3.833410000000000e-01, 5.185532553128916e+01
 4.000080000000000e-01, 6.097033556663397e+01
 4.166750000000000e-01, 6.039659200949654e+01
 4.333420000000000e-01, 5.181887695269683e+01
 4.500090000000000e-01, 4.071181742907857e+01
 4.666760000000000e-01, 3.465929819004288e+01
 4.833430000000001e-01, 3.772253716325989e+01
 5.000100000000000e-01, 4.610050341710242e+01
 5.166769999999999e-01, 5.122757501328115e+01
 5.333440000000000e-01, 5.154769446089707e+01
 5.500110000000000e-01, 4.783863259043046e+01
 5.666780000000000e-01, 4.125713822472582e+01
 5.833450000000000e-01, 3.487228994560063e+01
 6.000120000000000e-01, 3.115430528263771e+01
 6.166790000000000e-01, 3.213550722855319e+01
 6.333460000000000e-01, 3.758576757674067e+01
 6.500130000000000e-01, 4.467289253292334e+01
 6.666800000000001e-01, 5.089485421052693e+01
 6.833469999999999e-01, 5.610803259365809e+01
 7.000139999999999e-01, 5.887267156912584e+01
 7.166810000000000e-01, 5.909967616522881e+01
 7.333480000000000e-01, 5.811746254814474e+01
 7.500150000000000e-01, 5.745763329756805e+01
 7.666820000000000e-01, 5.821948060619953e+01
 7.833490000000000e-01, 6.058574984414629e+01
 8.000160000000001e-01, 6.360583200290212e+01
 8.166829999999999e-01, 6.578241519907854e+01
 8.333499999999999e-01, 6.655724038428011e+01
 8.500170000000000e-01, 6.553332146847305e+01
 8.666839999999999e-01, 6.306425098505913e+01
 8.833510000000000e-01, 6.020903890044153e+01
 9.000180000000000e-01, 5.767077561436106e+01
 9.166850000000001e-01, 5.609510990495278e+01
 9.333520000000000e-01, 5.533251871480887e+01
 9.500189999999999e-01, 5.439706856778835e+01
 9.666860000000000e-01, 5.326940200767644e+01
 9.833529999999999e-01, 5.181479626381380e+01
 1.000020000000000e+00, 5.101951755188634e+01
 1.016687000000000e+00, 5.173038340029669e+01
 1.033354000000000e+00, 5.442661491393805e+01
 1.050021000000000e+00, 5.949480875906441e+01
 1.066688000000000e+00, 6.611685814956081e+01
 1.083355000000000e+00, 7.258854407717385e+01
 1.100022000000000e+00, 7.699012958219740e+01
 1.116689000000000e+00, 7.877602629938676e+01
 1.133356000000000e+00, 7.917670722900812e+01
 1.150023000000000e+00, 7.969939717904171e+01
 1.166690000000000e+00, 8.082146107326672e+01
 1.183357000000000e+00, 8.188853126275812e+01
 1.200024000000000e+00, 7.968923176244220e+01
 1.216691000000000e+00, 7.293343195404029e+01
 1.233358000000000e+00, 6.314519109895565e+01
 1.250025000000000e+00, 5.380443006594302e+01
 1.266692000000000e+00, 4.547613680375813e+01
 1.283359000000000e+00, 3.879497248415056e+01
 1.300026000000000e+00, 3.427313732714374e+01
 1.316693000000000e+00, 3.200053378780544e+01
 1.333360000000000e+00, 3.132447620719713e+01
 1.350027000000000e+00, 3.122381385343611e+01
 1.366694000000000e+00, 3.232766283151852e+01
 1.383361000000000e+00, 3.179097721614560e+01
 1.400028000000000e+00, 2.716825996206303e+01
 1.416695000000000e+00, 1.860806649226050e+01
 1.433362000000000e+00, 1.218120244064941e+01
 1.450029000000000e+00, 1.173148467122051e+01
 1.466696000000000e+00, 1.416058606469354e+01
 1.483363000000000e+00, 2.886018505927747e+01
 1.500030000000000e+00, 4.605428353726752e+01
 1.516697000000000e+00, 5.655708176545694e+01
 1.533364000000000e+00, 6.515910968358743e+01
 1.550031000000000e+00, 7.717932241989865e+01
 1.566698000000000e+00, 9.416010009139434e+01
 1.583365000000000e+00, 1.128264859415040e+02
 1.600032000000000e+00, 1.265334918448476e+02
 1.616699000000000e+00, 1.316589167858760e+02
 1.633366000000000e+00, 1.293273033736211e+02
 1.650033000000000e+00, 1.232914585385962e+02
 1.666700000000000e+00, 1.169053120509605e+02
 1.683367000000000e+00, 1.126160169286677e+02
 1.700034000000000e+00, 1.112565846748970e+02
 1.716701000000000e+00, 1.149185376123957e+02
 1.733368000000000e+00, 1.247130351224809e+02
 1.750035000000000e+00, 1.374332115570553e+02
 1.766702000000000e+00, 1.501868461429457e+02
 1.783369000000000e+00, 1.609850259273754e+02
 1.800036000000000e+00, 1.681846233146998e+02
 1.816703000000000e+00, 1.714886051873360e+02
 1.833370000000000e+00, 1.713619245575242e+02
 1.850037000000000e+00, 1.730880155406549e+02
 1.866704000000000e+00, 1.776265866941371e+02
 1.883371000000000e+00, 1.862458818452256e+02
 1.900038000000000e+00, 1.944245104307467e+02
 1.916705000000000e+00, 2.001550856211464e+02
 1.933372000000000e+00, 2.028779150849134e+02
 1.950039000000000e+00, 2.004912684392068e+02
 1.966706000000000e+00, 1.922304997393951e+02
 1.983373000000000e+00, 1.787690858018611e+02
 2.000040000000000e+00, 1.616657330722782e+02
 2.016707000000000e+00, 1.453210111406777e+02
 2.033374000000000e+00, 1.283428368952986e+02
 2.050041000000000e+00, 1.132808318046155e+02
 2.066708000000000e+00, 1.028945392138149e+02
 2.083375000000000e+00, 9.968718447268895e+01
 2.100042000000000e+00, 9.905664731276774e+01
 2.116709000000000e+00, 1.010973125644093e+02
 2.133376000000000e+00, 1.051948424179271e+02
 2.150043000000000e+00, 1.108493707652626e+02
 2.166710000000000e+00, 1.179552926853608e+02
 2.183377000000000e+00, 1.246456382389654e+02
 2.200044000000000e+00, 1.298940815839764e+02
 2.216711000000000e+00, 1.342558345168387e+02
 2.233378000000000e+00, 1.350642115004292e+02
 2.250045000000000e+00, 1.345223770226639e+02
 2.266712000000000e+00, 1.337322499543533e+02
 2.283379000000000e+00, 1.327514013935691e+02
 2.300046000000000e+00, 1.320963056487718e+02
 2.316713000000000e+00, 1.327949134914638e+02
 2.333380000000000e+00, 1.339893050970299e+02
 2.350047000000000e+00, 1.353148511547748e+02
 2.366714000000000e+00, 1.366003724140909e+02
 2.383381000000000e+00, 1.378011149190907e+02
 2.400048000000000e+00, 1.390086581311045e+02
 2.416715000000000e+00, 1.402966754595422e+02
 2.433382000000000e+00, 1.418451994071544e+02
 2.450049000000000e+00, 1.433142493895336e+02
 2.466716000000000e+00, 1.448683769482625e+02
 2.483383000000000e+00, 1.458085690423119e+02
 2.500050000000000e+00, 1.459257175872747e+02
 2.516717000000000e+00, 1.448426202527620e+02
 2.533384000000000e+00, 1.438142240260217e+02
 2.550051000000000e+00, 1.438293384457594e+02
 2.566718000000000e+00, 1.443656506494894e+02
 2.583385000000000e+00, 1.451354204916223e+02
 2.600052000000000e+00, 1.455078287388138e+02
 2.616719000000000e+00, 1.452961323333584e+02
 2.633386000000000e+00, 1.447610830597566e+02
 2.650053000000000e+00, 1.449752792748096e+02
 2.666720000000000e+00, 1.456096591755643e+02
 2.683387000000000e+00, 1.472705120520427e+02
 2.700054000000000e+00, 1.485676215986435e+02
 2.716721000000000e+00, 1.491976801464677e+02
 2.733388000000000e+00, 1.490834149725000e+02
 2.750055000000000e+00, 1.485758148166747e+02
 2.766722000000000e+00, 1.479961561767781e+02
 2.783389000000000e+00, 1.474223571368991e+02
 2.800056000000000e+00, 1.469186525382178e+02
 2.816723000000000e+00, 1.464088201546370e+02
 2.833390000000000e+00, 1.460508671453292e+02
 2.850057000000000e+00, 1.459936232540683e+02
 2.866724000000000e+00, 1.462025812359042e+02
 2.883391000000000e+00, 1.464059382916853e+02
 2.900058000000000e+00, 1.463940499613312e+02
 2.916725000000000e+00, 1.452352574731641e+02
 2.933392000000000e+00, 1.420154497456920e+02
 2.950059000000000e+00, 1.359603933974897e+02
 2.966726000000000e+00, 1.271190008953806e+02
 2.983393000000000e+00, 1.174575430122422e+02
 3.000060000000000e+00, 1.080506485087761e+02
 3.016727000000000e+00, 1.001283864306991e+02
 3.033394000000000e+00, 9.377963728082057e+01
 3.050061000000000e+00, 8.893318180089238e+01
 3.066728000000000e+00, 8.586208465387402e+01
 3.083395000000000e+00, 8.481843191612491e+01
 3.100062000000000e+00, 8.714731343179520e+01
 3.116729000000000e+00, 9.230316662393385e+01
 3.133396000000000e+00, 9.771886696554266e+01
