Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output.BodyModel.SelectedOutput.Trunk.JointReactionForce.L5SacrumProximoDistalForce
 5.000100000000000e-02, 5.705745805423004e+01
 6.666800000000001e-02, 6.729881289430830e+01
 8.333500000000001e-02, 5.666546744599589e+01
 1.000020000000000e-01, 4.280682919826262e+01
 1.166690000000000e-01, 3.497329025758950e+01
 1.333360000000000e-01, 2.351810334264951e+01
 1.500030000000000e-01, 9.588438267106824e+00
 1.666700000000000e-01,-1.383465854682981e-01
 1.833370000000000e-01, 4.674717220855996e+00
 2.000040000000000e-01, 1.842914797766571e+01
 2.166710000000000e-01, 4.046444495547172e+01
 2.333380000000000e-01, 6.197023715547078e+01
 2.500050000000000e-01, 7.847280211865910e+01
 2.666720000000000e-01, 9.240531944490300e+01
 2.833390000000000e-01, 1.056382172485626e+02
 3.000060000000000e-01, 1.195899526537471e+02
 3.166730000000000e-01, 1.303694262487248e+02
 3.333400000000000e-01, 1.344467674631528e+02
 3.500070000000000e-01, 1.310998641974985e+02
 3.666740000000001e-01, 1.278497660252842e+02
 3.833410000000000e-01, 1.244247322183460e+02
 4.000080000000000e-01, 1.229602444295125e+02
 4.166750000000000e-01, 1.253811848643655e+02
 4.333420000000000e-01, 1.306713473448847e+02
 4.500090000000000e-01, 1.370921928384564e+02
 4.666760000000000e-01, 1.422719632786976e+02
 4.833430000000000e-01, 1.454146449876926e+02
 5.000100000000000e-01, 1.483217257557224e+02
 5.166770000000001e-01, 1.589366547503487e+02
 5.333440000000000e-01, 1.745663237287209e+02
 5.500109999999999e-01, 1.889937015656221e+02
 5.666780000000000e-01, 1.993877421518218e+02
 5.833450000000000e-01, 1.971761265209850e+02
 6.000120000000000e-01, 1.818410729210998e+02
 6.166790000000000e-01, 1.536757974355604e+02
 6.333460000000000e-01, 1.150363064314187e+02
 6.500130000000000e-01, 7.864193876321025e+01
 6.666799999999999e-01, 5.123537617182228e+01
 6.833470000000000e-01, 3.239170278441060e+01
 7.000140000000000e-01, 1.751421644885306e+01
 7.166810000000000e-01, 7.518963751997603e+00
 7.333480000000000e-01, 2.651495917376110e+00
 7.500149999999999e-01, 3.769952060865194e-01
 7.666820000000000e-01,-7.503918241993688e-01
 7.833490000000000e-01,-3.755061671126896e-01
 8.000159999999999e-01, 5.291190653988451e-01
 8.166829999999999e-01, 5.891090603516318e-01
 8.333500000000000e-01,-3.338351008231939e+00
 8.500170000000000e-01,-1.270569985560661e+01
 8.666840000000000e-01,-2.828433515992486e+01
 8.833510000000000e-01,-3.987637071096390e+01
 9.000179999999999e-01,-3.009662406108643e+01
 9.166850000000000e-01,-1.356206672679653e+01
 9.333520000000000e-01,-2.677875485964876e+00
 9.500189999999999e-01, 2.474082394967468e+00
 9.666859999999999e-01, 7.280068999892706e+00
 9.833530000000000e-01, 1.876309388581205e+01
 1.000020000000000e+00, 3.495106980745464e+01
 1.016687000000000e+00, 5.268751057067260e+01
 1.033354000000000e+00, 7.442180132805805e+01
 1.050021000000000e+00, 9.869593346583781e+01
 1.066688000000000e+00, 1.173162130125825e+02
 1.083355000000000e+00, 1.298607021279134e+02
 1.100022000000000e+00, 1.634009911112786e+02
 1.116689000000000e+00, 2.137013384880291e+02
 1.133356000000000e+00, 2.893240250314428e+02
 1.150023000000000e+00, 3.651045829932697e+02
 1.166690000000000e+00, 4.194324821370123e+02
