Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output.BodyModel.SelectedOutput.Trunk.JointReactionForce.L5SacrumAnteroPosteriorForce
 5.000100000000000e-02, 4.149814131591084e+01
 6.666800000000001e-02, 4.346020375180611e+01
 8.333500000000001e-02, 3.826599923038739e+01
 1.000020000000000e-01, 3.156663281953696e+01
 1.166690000000000e-01, 2.771420162446264e+01
 1.333360000000000e-01, 2.357708320136908e+01
 1.500030000000000e-01, 1.994442906886196e+01
 1.666700000000000e-01, 1.819598257083605e+01
 1.833370000000000e-01, 2.202907826185560e+01
 2.000040000000000e-01, 2.951797136845226e+01
 2.166710000000000e-01, 3.840035979362636e+01
 2.333380000000000e-01, 4.612947648331665e+01
 2.500050000000000e-01, 5.117807299666494e+01
 2.666720000000000e-01, 5.497723824405679e+01
 2.833390000000000e-01, 5.795039170858852e+01
 3.000060000000000e-01, 6.061942754909443e+01
 3.166730000000000e-01, 6.204149169196793e+01
 3.333400000000000e-01, 6.109343296653434e+01
 3.500070000000000e-01, 5.837556775061866e+01
 3.666740000000001e-01, 5.596639623519185e+01
 3.833410000000000e-01, 5.458425864482222e+01
 4.000080000000000e-01, 5.455911389960214e+01
 4.166750000000000e-01, 5.609485603231823e+01
 4.333420000000000e-01, 5.843892829541389e+01
 4.500090000000000e-01, 6.058999476058945e+01
 4.666760000000000e-01, 6.167511300062512e+01
 4.833430000000000e-01, 6.133462403668131e+01
 5.000100000000000e-01, 5.995949550193411e+01
 5.166770000000001e-01, 5.914803871192480e+01
 5.333440000000000e-01, 5.896752140288950e+01
 5.500109999999999e-01, 5.926345658395554e+01
 5.666780000000000e-01, 5.915050336914643e+01
 5.833450000000000e-01, 5.779443656281529e+01
 6.000120000000000e-01, 5.457677830239994e+01
 6.166790000000000e-01, 4.981879312542561e+01
 6.333460000000000e-01, 4.411180038557826e+01
 6.500130000000000e-01, 3.800149031246806e+01
 6.666799999999999e-01, 3.396556745321126e+01
 6.833470000000000e-01, 3.228332659466787e+01
 7.000140000000000e-01, 3.090193944838872e+01
 7.166810000000000e-01, 2.939172429944514e+01
 7.333480000000000e-01, 2.764242539173018e+01
 7.500149999999999e-01, 2.583224047196944e+01
 7.666820000000000e-01, 2.463614654749410e+01
 7.833490000000000e-01, 2.478683334434040e+01
 8.000159999999999e-01, 2.548416504972490e+01
 8.166829999999999e-01, 2.557866998976657e+01
 8.333500000000000e-01, 2.432124306778000e+01
 8.500170000000000e-01, 2.118728780123892e+01
 8.666840000000000e-01, 1.655176513121647e+01
 8.833510000000000e-01, 1.319568987324327e+01
 9.000179999999999e-01, 1.669895369543054e+01
 9.166850000000000e-01, 2.172933205918112e+01
 9.333520000000000e-01, 2.415333349226533e+01
 9.500189999999999e-01, 2.544466600738544e+01
 9.666859999999999e-01, 2.737415652676355e+01
 9.833530000000000e-01, 3.158569654237107e+01
 1.000020000000000e+00, 3.630090946614438e+01
 1.016687000000000e+00, 3.955034448209611e+01
 1.033354000000000e+00, 4.247439564280452e+01
 1.050021000000000e+00, 4.423362652683534e+01
 1.066688000000000e+00, 4.642152358399308e+01
 1.083355000000000e+00, 5.125316856743286e+01
 1.100022000000000e+00, 6.608400944270628e+01
 1.116689000000000e+00, 8.698110935950581e+01
 1.133356000000000e+00, 1.123425362254108e+02
 1.150023000000000e+00, 1.344952651637015e+02
 1.166690000000000e+00, 1.474577421876471e+02
 1.183357000000000e+00, 1.521199908808837e+02
 1.200024000000000e+00, 1.508955745278965e+02
 1.216691000000000e+00, 1.451870527886763e+02
 1.233358000000000e+00, 1.371803772553118e+02
 1.250025000000000e+00, 1.288774756116695e+02
 1.266692000000000e+00, 1.226563940183848e+02
 1.283359000000000e+00, 1.192835863198941e+02
 1.300026000000000e+00, 1.182956572928057e+02
 1.316693000000000e+00, 1.181358447487499e+02
 1.333360000000000e+00, 1.174532864666361e+02
 1.350027000000000e+00, 1.153044876147713e+02
 1.366694000000000e+00, 1.112402367944349e+02
 1.383361000000000e+00, 1.058124970315555e+02
 1.400028000000000e+00, 1.001201640363462e+02
 1.416695000000000e+00, 9.544678235534410e+01
 1.433362000000000e+00, 9.245410908503213e+01
 1.450029000000000e+00, 9.153938177646725e+01
 1.466696000000000e+00, 9.241427582384746e+01
 1.483363000000000e+00, 9.398966432714536e+01
 1.500030000000000e+00, 9.554245428880935e+01
 1.516697000000000e+00, 9.659886148573091e+01
 1.533364000000000e+00, 9.690375487138451e+01
 1.550031000000000e+00, 9.653177292739085e+01
 1.566698000000000e+00, 9.609194699105689e+01
 1.583365000000000e+00, 9.582859053750050e+01
 1.600032000000000e+00, 9.546562914203385e+01
 1.616699000000000e+00, 9.529503467117890e+01
 1.633366000000000e+00, 9.589669708483785e+01
 1.650033000000000e+00, 9.672059060296971e+01
 1.666700000000000e+00, 9.786252295316410e+01
 1.683367000000000e+00, 9.947656730758092e+01
 1.700034000000000e+00, 1.017599042199154e+02
 1.716701000000000e+00, 1.043112862894316e+02
 1.733368000000000e+00, 1.071122823010596e+02
 1.750035000000000e+00, 1.101290961753718e+02
 1.766702000000000e+00, 1.132274764106316e+02
 1.783369000000000e+00, 1.159339628803937e+02
 1.800036000000000e+00, 1.182417666512599e+02
 1.816703000000000e+00, 1.195115045197757e+02
 1.833370000000000e+00, 1.194012932204463e+02
 1.850037000000000e+00, 1.179085220832566e+02
 1.866704000000000e+00, 1.153070378692921e+02
 1.883371000000000e+00, 1.118816693025504e+02
 1.900038000000000e+00, 1.075222983765695e+02
 1.916705000000000e+00, 1.022889231279838e+02
 1.933372000000000e+00, 9.642245417114719e+01
 1.950039000000000e+00, 9.107332894288859e+01
 1.966706000000000e+00, 8.670851399200663e+01
 1.983373000000000e+00, 8.363500697283695e+01
 2.000040000000000e+00, 8.251779055020188e+01
 2.016707000000000e+00, 8.379446229249436e+01
 2.033374000000000e+00, 8.727652462267537e+01
 2.050041000000000e+00, 9.134345418424624e+01
 2.066708000000000e+00, 9.658710865362281e+01
 2.083375000000000e+00, 9.319533861542124e+01
 2.100042000000000e+00, 8.366888359197793e+01
 2.116709000000000e+00, 7.479736748390386e+01
 2.133376000000000e+00, 6.992721692866860e+01
 2.150043000000000e+00, 6.249229811587762e+01
 2.166710000000000e+00, 5.373751204662364e+01
 2.183377000000000e+00, 4.704062012512825e+01
 2.200044000000000e+00, 3.861697132214067e+01
 2.216711000000000e+00, 2.780983378808878e+01
 2.233378000000000e+00, 1.949037397158470e+01
 2.250045000000000e+00, 1.381305965773312e+01
 2.266712000000000e+00, 1.348900253955084e+01
 2.283379000000000e+00, 1.548613340797476e+01
 2.300046000000000e+00, 1.818483198709679e+01
 2.316713000000000e+00, 1.989871158000034e+01
 2.333380000000000e+00, 1.922743712235464e+01
 2.350047000000000e+00, 1.662116331299639e+01
 2.366714000000000e+00, 1.280724968871145e+01
 2.383381000000000e+00, 9.314533372380703e+00
 2.400048000000000e+00, 7.749133570864810e+00
 2.416715000000000e+00, 7.999254862739397e+00
 2.433382000000000e+00, 9.265639840015130e+00
 2.450049000000000e+00, 1.130993349931706e+01
 2.466716000000000e+00, 1.373632912345020e+01
 2.483383000000000e+00, 1.643847241028291e+01
 2.500050000000000e+00, 1.901911129629704e+01
 2.516717000000000e+00, 2.118577775326482e+01
 2.533384000000000e+00, 2.245884848019938e+01
 2.550051000000000e+00, 2.342634207718287e+01
 2.566718000000000e+00, 2.438185374732280e+01
 2.583385000000000e+00, 2.674483017476284e+01
 2.600052000000000e+00, 3.356498949053497e+01
 2.616719000000000e+00, 4.037209222856225e+01
 2.633386000000000e+00, 4.643218163528946e+01
 2.650053000000000e+00, 5.209116546968945e+01
 2.666720000000000e+00, 5.834206808933731e+01
 2.683387000000000e+00, 6.382001957167142e+01
 2.700054000000000e+00, 6.704160929575922e+01
 2.716721000000000e+00, 6.459915809187251e+01
 2.733388000000000e+00, 5.211867779527170e+01
 2.750055000000000e+00, 3.429706596484498e+01
 2.766722000000000e+00, 2.223730362820131e+01
 2.783389000000000e+00, 2.108272341919320e+01
 2.800056000000000e+00, 2.390220562928709e+01
 2.816723000000000e+00, 2.667152271701264e+01
 2.833390000000000e+00, 2.675741336017038e+01
 2.850057000000000e+00, 2.539690363908797e+01
 2.866724000000000e+00, 2.477198646671452e+01
 2.883391000000000e+00, 2.578017307668425e+01
 2.900058000000000e+00, 2.856690795192846e+01
 2.916725000000000e+00, 3.231066959031948e+01
 2.933392000000000e+00, 3.660658644587903e+01
 2.950059000000000e+00, 3.992237504619064e+01
 2.966726000000000e+00, 4.169729589555275e+01
 2.983393000000000e+00, 4.214644334597327e+01
 3.000060000000000e+00, 4.069514932754425e+01
 3.016727000000000e+00, 3.820694883599813e+01
 3.033394000000000e+00, 3.510603853689632e+01
 3.050061000000000e+00, 3.281375585595965e+01
 3.066728000000000e+00, 3.176972395505538e+01
 3.083395000000000e+00, 3.238712725719097e+01
 3.100062000000000e+00, 3.534850775640686e+01
 3.116729000000000e+00, 3.942241144900760e+01
 3.133396000000000e+00, 4.271086429693965e+01
