Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output.BodyModel.SelectedOutput.Trunk.JointReactionForce.L5SacrumMedioLateralForce
 5.000100000000000e-02, 1.192079342248942e+00
 6.666800000000001e-02, 2.119281168216474e+00
 8.333500000000001e-02, 3.401128012349837e+00
 1.000020000000000e-01, 5.200779738523927e+00
 1.166690000000000e-01, 6.873080257365391e+00
 1.333360000000000e-01, 8.626070120131242e+00
 1.500030000000000e-01, 9.615301479879378e+00
 1.666700000000000e-01, 9.786339273295258e+00
 1.833370000000000e-01, 9.276328355168630e+00
 2.000040000000000e-01, 7.652784618062839e+00
 2.166710000000000e-01, 5.821837611419348e+00
 2.333380000000000e-01, 4.185882418508669e+00
 2.500050000000000e-01, 3.051590186558720e+00
 2.666720000000000e-01, 2.444797867364375e+00
 2.833390000000000e-01, 2.308076101992899e+00
 3.000060000000000e-01, 2.523374864206531e+00
 3.166730000000000e-01, 3.101474658818049e+00
 3.333400000000000e-01, 3.969280032681340e+00
 3.500070000000000e-01, 4.738968257505171e+00
 3.666740000000001e-01, 5.234509779772289e+00
 3.833410000000000e-01, 5.258639672024422e+00
 4.000080000000000e-01, 5.088072808879026e+00
 4.166750000000000e-01, 4.974438982649502e+00
 4.333420000000000e-01, 5.095910350639372e+00
 4.500090000000000e-01, 5.403164915861595e+00
 4.666760000000000e-01, 5.681535253662936e+00
 4.833430000000000e-01, 5.755789377623564e+00
 5.000100000000000e-01, 5.454230982296934e+00
 5.166770000000001e-01, 4.195522074913200e+00
 5.333440000000000e-01, 2.248687697083003e+00
 5.500109999999999e-01, 6.288818645903618e-01
 5.666780000000000e-01,-1.384505663199320e-01
 5.833450000000000e-01, 3.046061457486218e-01
 6.000120000000000e-01, 1.765744694160993e+00
 6.166790000000000e-01, 3.773213875319776e+00
 6.333460000000000e-01, 5.872149794990143e+00
 6.500130000000000e-01, 7.489123532074103e+00
 6.666799999999999e-01, 8.840886511585644e+00
 6.833470000000000e-01, 1.007487150853893e+01
 7.000140000000000e-01, 1.104582211771287e+01
 7.166810000000000e-01, 1.168376102409047e+01
 7.333480000000000e-01, 1.199265270959804e+01
 7.500149999999999e-01, 1.191316912894762e+01
 7.666820000000000e-01, 1.149272063691502e+01
 7.833490000000000e-01, 1.041360893105225e+01
 8.000159999999999e-01, 9.084074271281919e+00
 8.166829999999999e-01, 7.897193201303621e+00
 8.333500000000000e-01, 6.502397576245930e+00
 8.500170000000000e-01, 4.952245791833275e+00
 8.666840000000000e-01, 3.010763478532477e+00
 8.833510000000000e-01, 8.234575904440824e-01
 9.000179999999999e-01,-6.874232350856033e-01
 9.166850000000000e-01,-1.863500137915711e+00
 9.333520000000000e-01,-3.153549860400439e+00
 9.500189999999999e-01,-3.778969768813134e+00
 9.666859999999999e-01,-3.719631067758151e+00
 9.833530000000000e-01,-3.604663407076210e+00
 1.000020000000000e+00,-4.784758871432224e+00
 1.016687000000000e+00,-8.282395545144837e+00
 1.033354000000000e+00,-1.310168262760349e+01
 1.050021000000000e+00,-1.765728514340407e+01
 1.066688000000000e+00,-2.026603924857128e+01
 1.083355000000000e+00,-2.039117712811881e+01
 1.100022000000000e+00,-1.810900098421752e+01
 1.116689000000000e+00,-1.391334925764718e+01
 1.133356000000000e+00,-9.475251790425816e+00
 1.150023000000000e+00,-5.713085269979970e+00
 1.166690000000000e+00,-4.094581722511862e+00
 1.183357000000000e+00,-4.323216688808742e+00
 1.200024000000000e+00,-5.188920899197484e+00
 1.216691000000000e+00,-6.050946357664003e+00
 1.233358000000000e+00,-6.751521272668768e+00
 1.250025000000000e+00,-7.327644321313542e+00
 1.266692000000000e+00,-7.890083119435829e+00
 1.283359000000000e+00,-8.154344574574992e+00
 1.300026000000000e+00,-8.291179864264265e+00
 1.316693000000000e+00,-8.454306109816599e+00
 1.333360000000000e+00,-8.470116702952097e+00
 1.350027000000000e+00,-8.729266660586447e+00
 1.366694000000000e+00,-8.931581203888030e+00
 1.383361000000000e+00,-9.024306651480003e+00
 1.400028000000000e+00,-9.049590336335541e+00
 1.416695000000000e+00,-9.035185618677104e+00
 1.433362000000000e+00,-9.052164607402979e+00
 1.450029000000000e+00,-9.089335789508667e+00
 1.466696000000000e+00,-9.160185411572101e+00
 1.483363000000000e+00,-9.238344558495697e+00
 1.500030000000000e+00,-9.353049960485876e+00
 1.516697000000000e+00,-9.512679135253578e+00
 1.533364000000000e+00,-9.718438919952163e+00
 1.550031000000000e+00,-9.950434966477559e+00
 1.566698000000000e+00,-1.021075994717648e+01
 1.583365000000000e+00,-1.046422742756147e+01
 1.600032000000000e+00,-1.068425784020289e+01
 1.616699000000000e+00,-1.079006652564146e+01
 1.633366000000000e+00,-1.072426514690834e+01
 1.650033000000000e+00,-1.057257695527316e+01
 1.666700000000000e+00,-1.042012159122091e+01
 1.683367000000000e+00,-1.031908483509831e+01
 1.700034000000000e+00,-1.030512813732963e+01
 1.716701000000000e+00,-1.041764436806237e+01
